date,open,high,low,close,adjusted_close,volume
2022-05-19,463.31,528.99,461.97,501.67,50.167,4618000
2022-05-20,514.97,514.97,437.16,466.3,46.63,4488000
2022-05-24,453.37,455.41,409.24,416.2,41.62,4671000
2022-05-25,419.6,431.23,409.1,426.78,42.678,3069000
2022-05-26,423.85,456.1,418.0,448.75,44.875,3191000
2022-05-27,457.39,473.0,453.6,469.32,46.932,2775000
2022-05-30,475.2,492.23,475.2,486.57,48.657,1194000
2022-05-31,475.2,488.95,458.46,474.85,47.485,4699000
2022-06-01,479.07,495.31,445.89,457.33,45.733,3184000
2022-06-02,459.8,503.88,453.97,501.14,50.114,2756000
2022-06-03,484.73,484.73,438.74,445.13,44.513,4325000
2022-06-06,459.99,470.0,446.0,452.54,45.254,2717000
2022-06-07,446.0,477.13,440.68,476.52,47.652,4315000
2022-06-08,477.89,495.15,472.99,491.13,49.113,3929000
2022-06-09,488.65,501.3,471.18,471.52,47.152,3238000
2022-06-10,455.19,462.95,434.08,444.85,44.485,3033000
2022-06-13,426.0,435.01,401.62,403.16,40.316,3076000
2022-06-14,409.86,414.72,386.29,393.05,39.305,3737000
2022-06-15,398.6,427.44,394.99,420.22,42.022,5382000
2022-06-16,408.19,412.85,387.66,394.53,39.453,3002000
2022-06-17,399.52,425.0,399.52,412.84,41.284,7269000
2022-06-20,415.06,420.77,413.19,420.34,42.034,625000
2022-06-21,418.28,435.14,417.7,423.84,42.384,2678000
2022-06-22,419.0,450.0,418.0,438.64,43.864,3665000
2022-06-23,444.68,474.31,431.09,472.17,47.217,3166000
2022-06-24,476.77,501.15,472.0,497.09,49.709,2879000
2022-06-27,504.08,508.91,463.0,480.7,48.07,2457000
2022-06-28,480.0,488.57,446.86,451.04,45.104,2829000
2022-06-29,44.44,44.96,41.88,42.59,42.59,1783600
2022-06-30,42.15,42.99,39.76,40.22,40.22,3377600
2022-07-04,40.8,41.4,40.1,40.35,40.35,610400
2022-07-05,40.14,44.66,38.7,44.36,44.36,3416400
2022-07-06,44.55,45.95,42.79,43.06,43.06,2408700
2022-07-07,42.81,46.04,42.03,45.83,45.83,2630900
2022-07-08,44.48,47.56,44.25,46.08,46.08,1804100
2022-07-11,45.23,45.65,41.64,42.0,42.0,2935100
2022-07-12,42.29,43.55,41.3,42.15,42.15,2440600
2022-07-13,40.7,42.99,39.47,41.71,41.71,2485900
2022-07-14,41.91,42.54,39.92,40.17,40.17,3408700
2022-07-15,40.92,41.53,39.17,40.7,40.7,2662800
2022-07-18,41.33,44.25,41.24,42.24,42.24,3166000
2022-07-19,44.25,44.3,41.45,44.23,44.23,2596500
2022-07-20,44.08,50.01,43.96,49.66,49.66,3610400
2022-07-21,49.17,52.41,48.9,52.03,52.03,3936200
2022-07-22,50.68,51.09,47.33,48.24,48.24,2926600
2022-07-25,47.95,48.08,45.96,47.11,47.11,2465000
2022-07-26,41.03,41.08,39.3,40.69,40.69,4541800
2022-07-27,40.54,45.6,40.3,45.17,45.17,4949100
2022-07-28,44.47,46.39,43.23,46.05,46.05,6822300
2022-07-29,45.22,47.03,43.29,44.61,44.61,4221000
2022-08-02,45.81,50.07,45.74,48.6,48.6,4049700
2022-08-03,49.18,54.1,49.17,53.85,53.85,3906000
2022-08-04,53.91,54.75,51.68,52.75,52.75,3579100
2022-08-05,51.11,54.99,50.68,52.74,52.74,3691100
2022-08-08,53.28,54.53,50.54,51.11,51.11,3747000
2022-08-09,49.81,49.98,46.83,47.29,47.29,3306100
2022-08-10,50.57,52.18,48.61,51.9,51.9,3512200
2022-08-11,54.68,57.85,50.64,51.66,51.66,4760400
2022-08-12,52.88,53.11,50.68,52.0,52.0,2766400
2022-08-15,51.59,53.05,50.19,51.44,51.44,2977700
2022-08-16,51.51,51.85,48.43,50.84,50.84,3521600
2022-08-17,50.05,50.4,47.89,48.13,48.13,3698900
2022-08-18,48.15,48.3,46.5,47.73,47.73,2872100
2022-08-19,46.91,47.26,44.3,44.43,44.43,3611500
2022-08-22,43.43,44.22,42.47,43.25,43.25,2305200
2022-08-23,43.02,43.79,42.01,42.06,42.06,2686900
2022-08-24,42.62,44.44,42.23,43.18,43.18,3000200
2022-08-25,43.67,44.88,43.1,44.38,44.38,2614500
2022-08-26,44.37,44.69,41.5,42.23,42.23,3880400
2022-08-29,41.33,43.18,41.33,41.55,41.55,2474000
2022-08-30,42.29,42.87,40.02,41.09,41.09,3503400
2022-08-31,41.94,43.73,41.14,41.58,41.58,4926300
2022-09-01,40.78,41.23,39.27,41.15,41.15,4345300
2022-09-02,41.78,41.94,39.26,39.54,39.54,4073600
2022-09-06,39.84,39.86,38.19,39.25,39.25,3125200
2022-09-07,39.56,40.86,38.72,40.61,40.61,3228800
2022-09-08,40.03,41.92,39.33,41.83,41.83,7353100
2022-09-09,42.35,45.47,42.29,45.31,45.31,4277100
2022-09-12,45.15,46.46,44.93,45.66,45.66,2800900
2022-09-13,42.9,43.84,42.37,43.12,43.12,11157300
2022-09-14,42.98,44.44,42.05,44.36,44.36,3025500
2022-09-15,43.76,45.85,43.47,44.8,44.8,3185900
2022-09-16,43.3,43.64,41.54,42.16,42.16,8300800
2022-09-19,41.5,43.76,41.5,43.62,43.62,2724900
2022-09-20,43.05,43.2,41.19,41.35,41.35,3347800
2022-09-21,41.47,43.33,40.84,41.09,41.09,4011000
2022-09-22,40.66,41.14,38.24,38.52,38.52,4478800
2022-09-23,38.2,39.25,37.49,39.1,39.1,3960400
2022-09-26,38.95,40.76,38.78,38.81,38.81,3203500
2022-09-27,39.8,40.23,38.06,38.32,38.32,3349100
2022-09-28,38.27,40.0,37.91,39.86,39.86,3836900
2022-09-29,38.93,39.07,36.38,36.68,36.68,5036700
2022-09-30,36.59,38.58,36.25,37.19,37.19,4452000
2022-10-03,37.42,38.47,36.3,37.8,37.8,3536400
2022-10-04,39.65,43.1,39.59,42.61,42.61,5327300
2022-10-05,41.54,42.57,41.07,41.96,41.96,2922700
2022-10-06,41.78,42.52,40.85,41.32,41.32,2956000
2022-10-07,40.0,40.01,37.03,37.35,37.35,4540700
2022-10-11,36.5,36.57,34.53,35.37,35.37,4470900
2022-10-12,35.36,36.5,34.84,35.93,35.93,2836700
2022-10-13,33.86,36.5,33.0,36.11,36.11,4183500
2022-10-14,37.2,37.69,36.1,36.22,36.22,3223800
2022-10-17,37.76,38.4,37.23,38.12,38.12,3385000
2022-10-18,39.99,40.75,39.11,39.52,39.52,3037600
2022-10-19,39.1,39.37,38.37,39.04,39.04,2598900
2022-10-20,39.02,42.25,38.98,40.94,40.94,4076600
2022-10-21,40.0,40.59,38.56,40.54,40.54,5749800
2022-10-24,40.3,40.32,38.3,39.49,39.49,3331100
2022-10-25,39.88,41.09,39.8,40.63,40.63,3159600
2022-10-26,39.68,41.98,38.77,39.46,39.46,4235800
2022-10-27,41.98,46.8,41.89,46.22,46.22,7203200
2022-10-28,46.0,47.27,44.36,46.55,46.55,4625200
2022-10-31,46.55,49.33,46.32,46.71,46.71,5024200
2022-11-01,48.0,48.65,47.4,47.43,47.43,2342400
2022-11-02,47.56,49.18,45.9,45.97,45.97,6449000
2022-11-03,45.41,48.25,45.31,46.38,46.38,3305900
2022-11-04,46.95,47.35,42.31,43.33,43.33,5155500
2022-11-07,43.99,44.4,42.52,43.51,43.51,2556900
2022-11-08,43.94,44.53,42.55,44.09,44.09,3798700
2022-11-09,43.52,43.53,41.16,41.77,41.77,3205900
2022-11-10,45.31,48.84,44.75,48.65,48.65,5330600
2022-11-11,48.65,54.18,48.06,52.34,52.34,5415200
2022-11-14,51.84,52.2,50.44,51.12,51.12,3961900
2022-11-15,53.82,55.49,53.1,53.24,53.24,5497600
2022-11-16,52.02,52.83,50.4,51.34,51.34,4527600
2022-11-17,49.93,51.02,49.29,50.26,50.26,3153700
2022-11-18,51.25,51.33,48.38,49.02,49.02,5080400
2022-11-21,48.31,48.54,46.67,47.36,47.36,3740200
2022-11-22,47.07,47.42,46.12,47.2,47.2,2611500
2022-11-23,47.27,49.45,47.13,49.13,49.13,3368200
2022-11-24,49.62,50.11,49.53,49.99,49.99,732600
2022-11-25,49.07,49.53,48.21,49.18,49.18,2149500
2022-11-28,52.34,53.99,50.53,51.34,51.34,4356300
2022-11-29,52.1,54.15,49.92,50.45,50.45,5573500
2022-11-30,50.39,55.26,50.09,55.26,55.26,9887500
2022-12-01,55.9,58.7,55.5,58.29,58.29,5235400
2022-12-02,56.65,60.63,56.55,57.96,57.96,6945500
2022-12-05,57.55,58.69,54.96,55.46,55.46,3376800
2022-12-06,55.31,55.64,52.68,53.21,53.21,6389800
2022-12-07,52.18,53.07,51.3,52.51,52.51,4114700
2022-12-08,51.57,53.17,49.7,52.49,52.49,3524300
2022-12-09,52.47,55.09,52.32,52.4,52.4,3031400
2022-12-12,51.67,52.85,51.25,52.28,52.28,4021000
2022-12-13,56.7,57.78,52.25,52.55,52.55,5378100
2022-12-14,52.08,53.4,51.17,51.82,51.82,4451400
2022-12-15,50.62,51.4,49.23,49.71,49.71,4456400
2022-12-16,49.4,50.77,48.79,49.4,49.4,9614100
2022-12-19,49.28,49.5,48.11,48.47,48.47,2479100
2022-12-20,47.62,50.44,47.52,49.01,49.01,4489800
2022-12-21,49.45,50.29,48.1,49.26,49.26,5571600
2022-12-22,48.56,48.58,45.685,47.26,47.26,5053700
2022-12-23,46.72,47.11,45.17,45.83,45.83,3704100
2022-12-28,44.92,45.51,44.06,44.4,44.4,3769800
2022-12-29,44.95,47.92,44.67,47.56,47.56,3258500
2022-12-30,46.55,47.66,46.27,47.01,47.01,3633100
2023-01-03,48.79,49.64,47.21,48.79,48.79,4362800
2023-01-04,49.16,50.91,48.41,50.61,50.61,4293100
2023-01-05,49.37,49.8,47.91,48.83,48.83,4130200
2023-01-06,48.89,50.05,47.4,49.56,49.56,3783000
2023-01-09,50.49,51.5,49.76,49.81,49.81,3927600
2023-01-10,49.61,50.06,48.37,49.01,49.01,3535200
2023-01-11,49.43,50.14,48.04,48.92,48.92,5545800
2023-01-12,49.79,49.98,47.78,49.11,49.11,5442200
2023-01-13,48.05,52.3,47.96,52.09,52.09,4535200
2023-01-16,52.35,52.8,52.12,52.16,52.16,657100
